Location,Model Name,PRICE
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE  COOKER 7.5L,3775
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS DVP 10+3LTR,4545
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS 2+3 LTR POP+ DVP,2140
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS 5 LTR STARTER PACK,1925
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM POWDER COATED),1900
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 4.8L (ALUMINIUM HARD ANODISED),2930
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE COOKER 3L (ALUMINIUM HARD ANODISED),2265
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 2L (HARD ANODISED),2110
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 2L (ALUMINIUM POWDER COATED),1750
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM HARD ANODISED),2390
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE COOKER 5L (ALUMINIUM HARD ANODISED),3120
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 5L (POLISHED),2225
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE PAN 3.1L (ALUMINIUM HARD ANODISED),3070
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM JUNIOR PRESSURE HANDI 4.8L (POLISHED),2290
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 6L (POLISHED),1000
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE  COOKER 12L(POLISHED) ,3350
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE COOKER 7.5L(HARD ANODISED),3775
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS HARD ANODISED PRESSURE HANDI WITH STAINLESS STEEL LID 2L-01U AND GLASS LID-01U,2200
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS 3.3LTR DUO PLUS (HARD ANODISED),2520
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS 1.5  DUO PLUS {HARD ANODISED),2020
Coimbatore assembly line 1,JUDGE ALUMINIUM PRESSURE COOKER 3L,1099
Coimbatore assembly line 1,JUDGE BASIC 5LTRE,1399
Coimbatore assembly line 1,JUDGE DELUXE 3LTR,1139
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 1.5L,1065
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2.0L-TALL BODY,1125
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2.0L,1145
Coimbatore assembly line 2,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 3L,1350
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 4L,1550
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 5.0L,1850
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 5.5L,2000
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 6.0L,2075
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE C0OOKER 6.5L,2225
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 7.5L,2550
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 8.5L,2775
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 10L,2990
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 12L,3250
Coimbatore assembly line 2,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L,2290
Coimbatore assembly line 2,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 2L,1725
Coimbatore assembly line 2,PRESTIGE POPULAR DVP 7.5+3LTR PRESSURE COOKER,3900
Coimbatore assembly line 2,PRESTIGE POPULAR DVP 12 +3LTR PRESSURE COOKER,4600
Coimbatore assembly line 2,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN,1850
Coimbatore assembly line 2,PRESTIGE POPULAR 3+2 COMBI,1350
